"","Metric","Old learning","Old holdout","Total old","New learning","New holdout","Total new"
"1","Customers","0","0","3644","0","0","3885"
"2","Transactions","7365","1198","8563","7446","787","8233"
"3","Period length","52","104","156","52","104","156"
"4","Average number of rep. purchases per customer","2.02","0.33","2.35","1.92","0.2","2.12"
"5","Standard deviation of rep. purchases","1.92","2.6","2.44","1.9","1.91","2.19"
"6","Zero repeaters","2020","212","1823","2264","146","2118"
"7","First entry date","0","0","2005-12-01","0","0","2008-12-01"
"8","Last entry date","0","0","2005-12-31","0","0","2008-12-31"
