"","Var1","Var2","Var3","Var4","CET_CP_perf","PTS_CP_perf","CET_QR_perf","PTS_QR_perf","CET_quantile","PTS_quantile","CET_Lr","CET_La","CET_Ls","CET_Lb","CET_Ur","CET_Ua","CET_Us","CET_Ub","PTS_Lr","PTS_La","PTS_Ls","PTS_Lb","PTS_Ur","PTS_Ua","PTS_Us","PTS_Ub"
"33",20,15,40,0,0.746987951807229,0.807228915662651,0.983935742971888,0.947791164658635,2.99549960041311,2.69236275159706,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"81",20,15,40,20,0.959839357429719,0.939759036144578,0.955823293172691,0.919678714859438,2.99549960041311,2.69236275159706,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"129",20,15,40,40,0.891566265060241,0.895582329317269,0.951807228915663,0.899598393574297,2.99549960041311,2.69236275159706,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"37",20,50,40,0,0.879518072289157,0.91566265060241,0.975903614457831,0.887550200803213,2.99549960041311,2.69236275159706,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"85",20,50,40,20,0.979919678714859,0.963855421686747,0.923694779116466,0.891566265060241,2.99549960041311,2.69236275159706,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"133",20,50,40,40,0.971887550200803,0.951807228915663,0.93574297188755,0.875502008032129,2.99549960041311,2.69236275159706,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"41",20,80,40,0,0.923694779116466,0.955823293172691,0.91566265060241,0.899598393574297,2.99549960041311,2.69236275159706,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"89",20,80,40,20,0.975903614457831,0.983935742971888,0.891566265060241,0.883534136546185,2.99549960041311,2.69236275159706,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"137",20,80,40,40,0.959839357429719,0.963855421686747,0.919678714859438,0.8714859437751,2.99549960041311,2.69236275159706,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"45",20,100,40,0,0.947791164658635,0.971887550200803,0.91566265060241,0.863453815261044,2.99549960041311,2.69236275159706,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"93",20,100,40,20,0.979919678714859,0.987951807228916,0.887550200803213,0.867469879518072,2.99549960041311,2.69236275159706,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"141",20,100,40,40,0.959839357429719,0.979919678714859,0.899598393574297,0.859437751004016,2.99549960041311,2.69236275159706,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"2",80,15,0,0,0.738955823293173,0.807228915662651,0.983935742971888,0.943775100401606,2.409813584924,1.55990675790056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"50",80,15,0,20,0.959839357429719,0.939759036144578,0.955823293172691,0.91566265060241,2.409813584924,1.55990675790056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
"98",80,15,0,40,0.891566265060241,0.891566265060241,0.951807228915663,0.899598393574297,2.409813584924,1.55990675790056,3.5,50,8e-06,100,0.01,3500,2,100,3.5,50,8e-06,100,0.01,3500,2,100
