;Var1;Var2;Var3;Var4;CET_CP_perf;PTS_CP_perf;CET_CP_perf_B2;PTS_CP_perf_B2;CET_QR_perf;PTS_QR_perf;CET_quantile;PTS_quantile;CET_quantile_B2;PTS_quantile_B2;CET_Lr;CET_La;CET_Ls;CET_Lb;CET_Ur;CET_Ua;CET_Us;CET_Ub;PTS_Lr;PTS_La;PTS_Ls;PTS_Lb;PTS_Ur;PTS_Ua;PTS_Us;PTS_Ub
29;130;210;20;0;0.699547155;0.590864343;0.701319157;0.805473518;0.89328608;0.74936011;0.888007373;0.986510388;0.888649465;0.888649465;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
77;130;210;20;20;0.874384721;0.752707226;0.875566056;0.893482969;0.905493207;0.86079937;0.888007373;0.986510388;0.888649465;0.888649465;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
125;130;210;20;40;0.756645009;0.642055523;0.773971254;0.852923804;0.905886986;0.806457964;0.888007373;0.986510388;0.888649465;0.888649465;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
33;130;110;40;0;0.93738925;0.942311479;0.937192361;0.932073243;0.974995078;0.875762945;1.669950919;1.40554135;1.666946636;1.666946636;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
81;130;110;40;20;0.96515062;0.980901752;0.96515062;0.978735972;0.955306163;0.936011026;1.669950919;1.40554135;1.666946636;1.666946636;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
129;130;110;40;40;0.970269738;0.981886198;0.970269738;0.977751526;0.968103957;0.902933648;1.669950919;1.40554135;1.666946636;1.666946636;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
37;130;130;40;0;0.929316795;0.917109667;0.929316795;0.90490254;0.957865722;0.855680252;1.669950919;1.40554135;1.666946636;1.666946636;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
85;130;130;40;20;0.968103957;0.98149242;0.967907068;0.97912975;0.963181729;0.946839929;1.669950919;1.40554135;1.666946636;1.666946636;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
133;130;130;40;40;0.896239417;0.912384328;0.896239417;0.89801142;0.916322111;0.84465446;1.669950919;1.40554135;1.666946636;1.666946636;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
41;130;180;40;0;0.916519;0.927938571;0.916519;0.914746997;0.94428037;0.82358732;1.669950919;1.40554135;1.666946636;1.666946636;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
89;130;180;40;20;0.977554637;0.985823981;0.977554637;0.984051979;0.970663516;0.927938571;1.669950919;1.40554135;1.666946636;1.666946636;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
137;130;180;40;40;0.917503446;0.925575901;0.917503446;0.916322111;0.883047844;0.829493995;1.669950919;1.40554135;1.666946636;1.666946636;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
45;130;210;40;0;0.901358535;0.912778106;0.901358535;0.905296318;0.896042528;0.823193542;1.669950919;1.40554135;1.666946636;1.666946636;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
93;130;210;40;20;0.915534554;0.934239023;0.915534554;0.930104351;0.905493207;0.875172278;1.669950919;1.40554135;1.666946636;1.666946636;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
141;130;210;40;40;0.92813546;0.946446151;0.92813546;0.940145698;0.922031896;0.848001575;1.669950919;1.40554135;1.666946636;1.666946636;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
2;180;110;0;0;0.915337665;0.93030124;0.899192754;0.91868478;0.974995078;0.908249655;1.414942433;1.175699376;1.381900302;1.381900302;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
50;180;110;0;20;0.96515062;0.979917307;0.96515062;0.977160858;0.955306163;0.946839929;1.414942433;1.175699376;1.381900302;1.381900302;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
98;180;110;0;40;0.970072849;0.980114196;0.970072849;0.975191967;0.968103957;0.927741681;1.414942433;1.175699376;1.381900302;1.381900302;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
6;180;130;0;0;0.917503446;0.902342981;0.913368773;0.887576295;0.957865722;0.889938964;1.414942433;1.175699376;1.381900302;1.381900302;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
54;180;130;0;20;0.967710179;0.980311085;0.967710179;0.977554637;0.963181729;0.960819059;1.414942433;1.175699376;1.381900302;1.381900302;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
102;180;130;0;40;0.873006497;0.904705651;0.872809608;0.88619807;0.916322111;0.862571372;1.414942433;1.175699376;1.381900302;1.381900302;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
10;180;180;0;0;0.899980311;0.916715889;0.898602087;0.903327427;0.94428037;0.866312266;1.414942433;1.175699376;1.381900302;1.381900302;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
58;180;180;0;20;0.975191967;0.985430203;0.974207521;0.98385509;0.970663516;0.947824375;1.414942433;1.175699376;1.381900302;1.381900302;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
106;180;180;0;40;0.913959441;0.919078559;0.912187438;0.905690096;0.883047844;0.852333136;1.414942433;1.175699376;1.381900302;1.381900302;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
14;180;210;0;0;0.891317188;0.906871431;0.890726521;0.897617641;0.896042528;0.852726915;1.414942433;1.175699376;1.381900302;1.381900302;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
62;180;210;0;20;0.914943887;0.933451467;0.914550108;0.927938571;0.905493207;0.890332743;1.414942433;1.175699376;1.381900302;1.381900302;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
110;180;210;0;40;0.924394566;0.943689703;0.92341012;0.934632802;0.922031896;0.877338059;1.414942433;1.175699376;1.381900302;1.381900302;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
18;180;110;20;0;0.269541248;0.238629652;0.269541248;0.25280567;0.974995078;0.613506596;0.865250183;0.983884719;0.86493953;0.86493953;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
66;180;110;20;20;0.882063398;0.602087025;0.882063398;0.910415436;0.955306163;0.92104745;0.865250183;0.983884719;0.86493953;0.86493953;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
114;180;110;20;40;0.559558968;0.043118724;0.559558968;0.825753101;0.968103957;0.859814924;0.865250183;0.983884719;0.86493953;0.86493953;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
22;180;130;20;0;0.192754479;0.191573144;0.192754479;0.66115377;0.957865722;0.636345737;0.865250183;0.983884719;0.86493953;0.86493953;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
70;180;130;20;20;0.927741681;0.62650128;0.892104745;0.921441229;0.963181729;0.940342587;0.865250183;0.983884719;0.86493953;0.86493953;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
118;180;130;20;40;0.661941327;0.066942311;0.582201221;0.783618823;0.916322111;0.768261469;0.865250183;0.983884719;0.86493953;0.86493953;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
26;180;180;20;0;0.593817681;0.10671392;0.592439457;0.693443591;0.94428037;0.711754282;0.865250183;0.983884719;0.86493953;0.86493953;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
74;180;180;20;20;0.903918094;0.625713723;0.901752313;0.92341012;0.970663516;0.931285686;0.865250183;0.983884719;0.86493953;0.86493953;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
122;180;180;20;40;0.711951171;0.526284702;0.711360504;0.790903721;0.883047844;0.784997047;0.865250183;0.983884719;0.86493953;0.86493953;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
30;180;210;20;0;0.712541839;0.535538492;0.706832054;0.78893483;0.896042528;0.763536129;0.865250183;0.983884719;0.86493953;0.86493953;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
78;180;210;20;20;0.876156724;0.689308919;0.875762945;0.888166962;0.905493207;0.870446938;0.865250183;0.983884719;0.86493953;0.86493953;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
126;180;210;20;40;0.77968104;0.573341209;0.776530813;0.839535342;0.922031896;0.821618429;0.865250183;0.983884719;0.86493953;0.86493953;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
34;180;110;40;0;0.936404804;0.931679464;0.939358141;0.931679464;0.974995078;0.90253987;1.3034283;1.277447576;1.552449106;1.552449106;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
82;180;110;40;20;0.958653278;0.975585745;0.96515062;0.975782634;0.955306163;0.943689703;1.3034283;1.277447576;1.552449106;1.552449106;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
130;180;110;40;40;0.952155936;0.974798189;0.952352825;0.974798189;0.968103957;0.919669226;1.3034283;1.277447576;1.552449106;1.552449106;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
38;180;130;40;0;0.86552471;0.903918094;0.933451467;0.904705651;0.957865722;0.882063398;1.3034283;1.277447576;1.552449106;1.552449106;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
86;180;130;40;20;0.965347509;0.976963969;0.967907068;0.977160858;0.963181729;0.957275054;1.3034283;1.277447576;1.552449106;1.552449106;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
134;180;130;40;40;0.873006497;0.887773184;0.876747391;0.888363851;0.916322111;0.859027368;1.3034283;1.277447576;1.552449106;1.552449106;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
42;180;180;40;0;0.90962788;0.91179366;0.916125222;0.912384328;0.94428037;0.856270919;1.3034283;1.277447576;1.552449106;1.552449106;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
90;180;180;40;20;0.972829297;0.98149242;0.97440441;0.98149242;0.970663516;0.942508368;1.3034283;1.277447576;1.552449106;1.552449106;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
138;180;180;40;40;0.902736759;0.908052766;0.915337665;0.908446545;0.883047844;0.848198464;1.3034283;1.277447576;1.552449106;1.552449106;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
46;180;210;40;0;0.889938964;0.898995865;0.896042528;0.899586533;0.896042528;0.846426462;1.3034283;1.277447576;1.552449106;1.552449106;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
94;180;210;40;20;0.910809214;0.92577279;0.91415633;0.925969679;0.905493207;0.887773184;1.3034283;1.277447576;1.552449106;1.552449106;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
142;180;210;40;40;0.919275448;0.93502658;0.922228785;0.935223469;0.922031896;0.869856271;1.3034283;1.277447576;1.552449106;1.552449106;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
3;210;110;0;0;0.936207915;0.940342587;0.936404804;0.919669226;0.974995078;0.915337665;1.700814819;1.295303265;1.729891756;1.729891756;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
51;210;110;0;20;0.96515062;0.984839535;0.96515062;0.978342193;0.955306163;0.949596377;1.700814819;1.295303265;1.729891756;1.729891756;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
99;210;110;0;40;0.970072849;0.987005316;0.970072849;0.976373302;0.968103957;0.933451467;1.700814819;1.295303265;1.729891756;1.729891756;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
7;210;130;0;0;0.924591455;0.917109667;0.924985233;0.889742075;0.957865722;0.894664304;1.700814819;1.295303265;1.729891756;1.729891756;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
55;210;130;0;20;0.971254184;0.985430203;0.971844851;0.978735972;0.963181729;0.963575507;1.700814819;1.295303265;1.729891756;1.729891756;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
103;210;130;0;40;0.913368773;0.920850561;0.916322111;0.895058082;0.916322111;0.865918488;1.700814819;1.295303265;1.729891756;1.729891756;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
11;210;180;0;0;0.915731443;0.93030124;0.915731443;0.905296318;0.94428037;0.871825162;1.700814819;1.295303265;1.729891756;1.729891756;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
59;210;180;0;20;0.977554637;0.987989762;0.977554637;0.984642646;0.970663516;0.952155936;1.700814819;1.295303265;1.729891756;1.729891756;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
107;210;180;0;40;0.917109667;0.932270132;0.917503446;0.909234101;0.883047844;0.857058476;1.700814819;1.295303265;1.729891756;1.729891756;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
15;210;210;0;0;0.903524316;0.920850561;0.903918094;0.900767868;0.896042528;0.860011813;1.700814819;1.295303265;1.729891756;1.729891756;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
63;210;210;0;20;0.91868478;0.943886592;0.919275448;0.93030124;0.905493207;0.893482969;1.700814819;1.295303265;1.729891756;1.729891756;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
111;210;210;0;40;0.936798582;0.953927939;0.936798582;0.937979917;0.922031896;0.883047844;1.700814819;1.295303265;1.729891756;1.729891756;3.5;50;8.00E-06;100;0.01;3500;2;100;3.5;50;8.00E-06;100;0.01;3500;2;100
19;210;110;20;0;0.941130144;0.941327033;0.947036818;0.866509155;0.974995078;0.622957275;1.43911837;0.803034171;1.577459653;1.577459653;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
67;210;110;20;20;0.965347509;0.977357748;0.965544399;0.968103957;0.955306163;0.923607009;1.43911837;0.803034171;1.577459653;1.577459653;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
115;210;110;20;40;0.973616854;0.977554637;0.973616854;0.956684387;0.968103957;0.867099823;1.43911837;0.803034171;1.577459653;1.577459653;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
23;210;130;20;0;0.943689703;0.915534554;0.946249262;0.841701122;0.952943493;0.645205749;1.43911837;0.803034171;1.577459653;1.577459653;3.2;50;8.00E-06;100;0.01;3500;2;100;3.2;50;8.00E-06;100;0.01;3500;2;100
